Max Plume Concentration (ppm m),UTC Time Observed,Latitude of max concentration,Longitude of max concentration,Concentration Uncertainty (ppm m)
1574.0,2023-06-03T09:32:09Z,29.56137990147904,28.822906760486756,322.0
3383.0,2023-06-04T07:06:41Z,15.584252226830673,46.03445141846443,275.0
6688.0,2023-06-04T18:01:53Z,31.807307000380952,-104.172632412873,871.0
3419.0,2023-06-04T18:01:53Z,31.819778348346848,-104.29626142749144,671.0
4757.0,2023-06-04T18:01:53Z,32.31483663934091,-103.21125415445846,519.0
2242.0,2023-06-04T18:01:53Z,33.064744214855466,-102.95694710245822,613.0
7864.0,2023-06-05T08:00:26Z,39.475017069326235,53.66149404839048,586.0
6244.0,2023-06-05T08:00:26Z,39.361148240072396,53.76289152967842,359.0
4278.0,2023-06-05T08:00:26Z,39.36060600755214,53.7992211085356,564.0
5578.0,2023-06-05T08:00:26Z,39.37741521568009,53.833923989832,557.0
4222.0,2023-06-05T08:00:26Z,39.33783224170137,54.017740814198916,552.0
2157.0,2023-06-05T08:00:26Z,39.52002236850751,53.76180706463791,510.0
2228.0,2023-06-06T05:35:23Z,27.985109965093848,69.81243189674656,820.0
5369.0,2023-06-06T10:14:59Z,30.895271901309776,1.8636480858604783,654.0
2221.0,2023-06-07T09:26:29Z,29.49197413888625,6.539861340551391,276.0
2351.0,2023-06-07T09:26:29Z,29.64651040715931,6.960633776270331,433.0
1193.0,2023-06-07T09:26:29Z,29.631870129112393,6.763261138897014,247.0
2767.0,2023-06-08T16:22:11Z,31.949371920688073,-103.04533100326015,352.0
4275.0,2023-06-09T04:51:06Z,44.04278381996581,87.87040151884435,573.0
1870.0,2023-06-09T07:50:16Z,28.581023504855583,17.331915191213817,384.0
1253.0,2023-06-09T17:10:10Z,36.37941161118263,-114.86328878224779,349.0
5432.0,2023-06-09T17:10:10Z,40.041650052994136,-108.77618650984981,907.0
2569.0,2023-06-10T03:57:59Z,31.624032408534266,74.41381706364213,676.0
17525.0,2023-06-10T05:30:19Z,30.36063063633696,49.8794222196023,931.0
2642.0,2023-06-10T05:30:19Z,30.44738783957798,49.83821254806281,400.0
2163.0,2023-06-10T05:30:19Z,30.61602215337771,49.90707607813537,523.0
6082.0,2023-06-10T05:30:19Z,30.764593863927956,49.98353086349152,437.0
2149.0,2023-06-10T05:30:19Z,30.75646037612411,49.71349906840385,409.0
7222.0,2023-06-10T05:30:19Z,30.994500452516654,49.946659052114086,515.0
3625.0,2023-06-10T05:30:19Z,30.970642221625376,49.82791013017794,665.0
4757.0,2023-06-10T05:30:19Z,31.130600815101005,49.8805066846428,652.0
1313.0,2023-06-10T05:30:19Z,30.918045667160506,49.6793384196277,345.0
4716.0,2023-06-10T16:21:55Z,35.56714729583859,-109.72184002517743,868.0
1681.0,2023-06-11T04:44:27Z,36.10449972341265,62.33396097737082,265.0
1913.0,2023-06-11T04:44:27Z,38.26258515403299,66.01734648747232,290.0
3983.0,2023-06-11T06:16:38Z,34.1849966017051,36.6869050017649,455.0
2809.0,2023-06-12T05:32:53Z,44.06609981833687,58.66955360547819,529.0
1098.0,2023-06-13T04:43:14Z,40.25040957329288,58.438020319328785,204.0
2438.0,2023-06-13T11:13:48Z,36.59738908432571,61.60520047014617,429.0
4427.0,2023-06-13T11:13:48Z,36.54858815750264,61.56561749616746,312.0
2693.0,2023-06-13T11:13:48Z,36.502498393280845,61.658881489651556,338.0
5373.0,2023-06-13T11:13:48Z,36.472133372146494,61.45662875959593,508.0
1749.0,2023-06-13T11:13:48Z,36.392425191668806,61.363364766111836,327.0
2048.0,2023-06-13T11:13:48Z,36.42658584044496,61.47777582788593,248.0
4204.0,2023-06-13T11:13:48Z,36.431465933127264,61.48753601325054,548.0
2421.0,2023-06-13T11:13:48Z,36.419536817681625,61.550977218120536,462.0
1141.0,2023-06-13T11:13:48Z,36.407607702235985,61.58242670429541,273.0
1413.0,2023-06-14T10:24:03Z,40.79860665127202,61.29233230595826,377.0
2283.0,2023-06-14T10:24:03Z,39.97603991804311,61.6832819530631,339.0
3656.0,2023-06-14T10:24:03Z,40.45428900090922,62.13604610747716,424.0
10171.0,2023-06-14T10:24:03Z,40.23251590012437,62.33884107005305,2128.0
1416.0,2023-06-14T10:24:03Z,40.21407999443565,62.35998813834305,278.0
3183.0,2023-06-14T10:24:03Z,40.258000828576414,62.48253268792099,358.0
3345.0,2023-06-14T10:24:03Z,39.26354638642624,64.10001229584573,525.0
3043.0,2023-06-14T10:24:03Z,38.73486967917628,64.61838658521081,363.0
1637.0,2023-06-14T10:24:03Z,38.78746623364115,64.62055551529184,388.0
1803.0,2023-06-14T10:24:03Z,38.66275275398218,64.77454955104464,344.0
3098.0,2023-06-14T19:37:06Z,47.760329978843494,-96.64915619431632,650.0
1695.0,2023-06-16T11:59:49Z,24.603747968775068,46.89768559071251,388.0
4410.0,2023-06-16T21:13:43Z,31.334480242717433,-101.79602727658974,536.0
1503.0,2023-06-16T21:13:43Z,31.671206637796637,-101.88278447983075,450.0
2708.0,2023-06-16T21:13:43Z,31.269412340286667,-101.69354533026129,520.0
1618.0,2023-06-16T21:13:43Z,31.313333174427434,-101.61492161482411,465.0
3122.0,2023-06-16T21:13:43Z,31.16150806875565,-101.30042675307541,671.0
1936.0,2023-06-17T11:00:03Z,50.36738393623616,3.6128901962075157,428.0
4389.0,2023-06-20T08:44:14Z,39.373077355518035,53.83771961747374,507.0
8564.0,2023-06-20T08:44:14Z,39.3573526124306,53.80247450365707,636.0
5635.0,2023-06-20T08:44:14Z,39.44519428071213,53.59859507604068,1020.0
3922.0,2023-06-20T08:44:14Z,39.4641724189211,53.6381780500194,663.0
